# Undirected graph (each unordered pair of nodes is saved once): SIR_preferential_attachment.txt
# Save as tab-separated list of edges
# Nodes: 17577 Edges: 281096
# NodeId	NodeId
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
0	12
0	13
0	14
0	15
0	16
0	17
0	18
0	19
0	20
0	21
0	22
0	23
0	24
0	25
0	26
0	27
0	28
0	31
0	34
0	35
0	36
0	37
0	42
0	45
0	49
0	51
0	53
0	55
0	68
0	76
0	80
0	82
0	85
0	86
0	88
0	89
0	93
0	101
0	104
0	110
0	111
0	112
0	113
0	116
0	118
0	119
0	120
0	125
0	127
0	128
0	133
0	139
0	146
0	147
0	149
0	150
0	152
0	163
0	164
0	167
0	171
0	174
0	179
0	187
0	188
0	189
0	191
0	192
0	194
0	204
0	206
0	224
0	225
0	229
0	231
0	233
0	234
0	239
0	243
0	253
0	265
0	267
0	276
0	283
0	285
0	289
0	292
0	295
0	296
0	304
0	307
0	315
0	318
0	340
0	342
0	348
0	366
0	368
0	401
0	409
0	415
0	418
0	429
0	447
0	448
0	453
0	456
0	470
0	476
0	483
0	484
0	491
0	499
0	502
0	504
0	513
0	518
0	521
0	544
0	555
0	566
0	570
0	602
0	605
0	612
0	632
0	638
0	657
0	659
0	660
0	677
0	696
0	697
0	712
0	729
0	730
0	741
0	749
0	750
0	752
0	753
0	781
0	795
0	798
0	812
0	820
0	825
0	834
0	853
0	866
0	870
0	887
0	917
0	918
0	923
0	928
0	949
0	962
0	973
0	998
0	1000
0	1019
0	1021
0	1028
0	1038
0	1042
0	1057
0	1069
0	1098
0	1125
0	1131
0	1144
0	1145
0	1159
0	1178
0	1221
0	1227
0	1274
0	1282
0	1284
0	1332
0	1353
0	1385
0	1408
0	1411
0	1419
0	1458
0	1470
0	1477
0	1499
0	1545
0	1585
0	1590
0	1609
0	1612
0	1614
0	1642
0	1677
0	1681
0	1730
0	1734
0	1736
0	1757
0	1760
0	1787
0	1811
0	1817
0	1827
0	1845
0	1849
0	1853
0	1856
0	1857
0	1871
0	1873
0	1903
0	1905
0	1932
0	1953
0	1980
0	2026
0	2053
0	2061
0	2123
0	2124
0	2136
0	2159
0	2162
0	2193
0	2208
0	2223
0	2279
0	2323
0	2325
0	2338
0	2340
0	2350
0	2368
0	2504
0	2535
0	2539
0	2541
0	2549
0	2596
0	2609
0	2621
0	2628
0	2630
0	2646
0	2655
0	2682
0	2687
0	2688
0	2694
0	2695
0	2710
0	2731
0	2739
0	2763
0	2777
0	2778
0	2779
0	2801
0	2803
0	2822
0	2870
0	2893
0	2906
0	2916
0	2948
0	2964
0	2972
0	2999
0	3002
0	3010
0	3012
0	3031
0	3032
0	3052
0	3080
0	3147
0	3185
0	3205
0	3219
0	3251
0	3255
0	3267
0	3291
0	3308
0	3328
0	3330
0	3353
0	3356
0	3370
0	3396
0	3405
0	3440
0	3451
0	3491
0	3514
0	3527
0	3567
0	3568
0	3574
0	3578
0	3602
0	3605
0	3643
0	3657
0	3659
0	3721
0	3726
0	3769
0	3783
0	3808
0	3813
0	3852
0	3867
0	3878
0	3882
0	3886
0	3941
0	3968
0	3995
0	4010
0	4080
0	4092
0	4096
0	4181
0	4205
0	4207
0	4224
0	4293
0	4340
0	4422
0	4473
0	4500
0	4511
0	4529
0	4595
0	4624
0	4644
0	4709
0	4721
0	4728
0	4734
0	4752
0	4778
0	4801
0	4855
0	4889
0	4916
0	4940
0	4953
0	5015
0	5075
0	5225
0	5312
0	5324
0	5331
0	5335
0	5359
0	5376
0	5378
0	5398
0	5408
0	5418
0	5490
0	5561
0	5568
0	5644
0	5661
0	5671
0	5686
0	5717
0	5743
0	5766
0	5769
0	5807
0	5831
0	5884
0	5935
0	5942
0	5986
0	6009
0	6108
0	6114
0	6128
0	6132
0	6154
0	6180
0	6191
0	6210
0	6223
0	6231
0	6285
0	6363
0	6469
0	6527
0	6545
0	6634
0	6637
0	6660
0	6666
0	6667
0	6693
0	6812
0	6813
0	6861
0	6876
0	6906
0	6908
0	6929
0	6961
0	6978
0	7012
0	7018
0	7020
0	7086
0	7102
0	7150
0	7165
0	7167
0	7185
0	7197
0	7264
0	7285
0	7314
0	7320
0	7339
0	7387
0	7411
0	7514
0	7523
0	7568
0	7592
0	7692
0	7777
0	7795
0	7834
0	7876
0	7905
0	7941
0	8036
0	8039
0	8120
0	8130
0	8147
0	8155
0	8185
0	8198
0	8208
0	8220
0	8246
0	8248
0	8256
0	8274
0	8285
0	8377
0	8384
0	8418
0	8421
0	8434
0	8446
0	8583
0	8615
0	8648
0	8677
0	8759
0	8768
0	8815
0	8867
0	8898
0	8922
0	8958
0	8986
0	9024
0	9025
0	9040
0	9057
0	9064
0	9068
0	9117
0	9183
0	9194
0	9205
0	9212
0	9232
0	9252
0	9316
0	9335
0	9389
0	9489
0	9537
0	9546
0	9564
0	9601
0	9625
0	9627
0	9676
0	9688
0	9698
0	9699
0	9708
0	9729
0	9830
0	9917
0	9972
0	10043
0	10100
0	10115
0	10149
0	10188
0	10216
0	10327
0	10342
0	10343
0	10348
0	10420
0	10506
0	10532
0	10584
0	10631
0	10706
0	10732
0	10751
0	10776
0	10796
0	10830
0	10849
0	10907
0	10921
0	10990
0	10993
0	11043
0	11066
0	11087
0	11116
0	11157
0	11167
0	11223
0	11232
0	11317
0	11338
0	11340
0	11354
0	11382
0	11398
0	11409
0	11413
0	11470
0	11487
0	11495
0	11523
0	11558
0	11578
0	11625
0	11679
0	11709
0	11726
0	11802
0	11819
0	11984
0	12001
0	12014
0	12051
0	12162
0	12244
0	12284
0	12290
0	12315
0	12340
0	12347
0	12370
0	12455
0	12523
0	12557
0	12630
0	12681
0	12695
0	12701
0	12759
0	12823
0	12832
0	12872
0	12903
0	12994
0	13054
0	13148
0	13182
0	13226
0	13270
0	13272
0	13358
0	13389
0	13439
0	13482
0	13549
0	13555
0	13562
0	13617
0	13656
0	13685
0	13817
0	13825
0	13852
0	13943
0	14019
0	14067
0	14191
0	14207
0	14209
0	14241
0	14272
0	14286
0	14301
0	14341
0	14359
0	14368
0	14467
0	14505
0	14507
0	14520
0	14543
0	14619
0	14652
0	14671
0	14680
0	14747
0	14783
0	14806
0	14898
0	14950
0	14980
0	15038
0	15040
0	15098
0	15160
0	15170
0	15435
0	15454
0	15546
0	15565
0	15582
0	15588
0	15605
0	15679
0	15694
0	15703
0	15708
0	15763
0	15764
0	15828
0	15912
0	15961
0	15988
0	16006
0	16008
0	16073
0	16122
0	16218
0	16284
0	16325
0	16389
0	16479
0	16517
0	16558
0	16577
0	16648
0	16682
0	16756
0	16765
0	16771
0	16919
0	16933
0	16983
0	17070
0	17135
0	17152
0	17173
0	17192
0	17199
0	17260
0	17288
0	17304
0	17366
0	17507
0	17559
0	17569
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	9
1	10
1	11
1	12
1	13
1	14
1	15
1	16
1	17
1	19
1	20
1	27
1	28
1	30
1	31
1	32
1	34
